Station Name,NAME,ADDRESS,STATION_TYPE,NUMBER_OF_LINES,X,Y,Station_ID
Herndon,Herndon,"585-A HERNDON PKY, HERNDON, VA 20170",['Residential'],1,-8614478.87811793,4714916.95098346,45
Huntington,Huntington,"2701 HUNTINGTON AVENUE, ALEXANDRIA, VA",['Residential'],1,-8579972.91668295,4692195.73952161,46
Hyattsville Crossing,Hyattsville Crossing,"3575 EAST WEST HIGHWAY, HYATTSVILLE, MD",['Residential'],1,-8566689.79547957,4716715.66388193,47
Innovation Center,Innovation Center,"13747-A SUNRISE VALLEY DR, HERNDON, VA 20171",['Residential'],1,-8617831.48809987,4716053.1644627,48
Judiciary Square,Judiciary Square,"435 4TH STREET NW, WASHINGTON, DC",['Jobs'],1,-8573453.28537188,4706799.42638213,49
King St-Old Town,King St-Old Town,"1900 KING STREET, ALEXANDRIA, VA","['Residential', 'Jobs']",2,-8578370.51888717,4694005.54850139,50
L'Enfant Plaza,L'Enfant Plaza,"600 MARYLAND AVENUE SW, WASHINGTON, DC","['Jobs', 'Tourist']",5,-8574039.88659281,4705190.07743124,51
Landover,Landover,"3000 PENNSY DRIVE, HYATTSVILLE, MD",['Residential'],1,-8559489.25425328,4712152.497784,52
Loudoun Gateway,Loudoun Gateway,"22505-A LOCK RIDGE RD, STERLING, VA 20166",['Residential'],1,-8622884.28179803,4720532.55046356,53
McLean,McLean,"1824 DOLLEY MADISON BOULIVARD MCLEAN, VA 22102",['Residential'],1,-8594986.93366688,4710866.83672888,54
McPherson Sq,McPherson Sq,"1402 I STREET NW, WASHINGTON, DC",['Jobs'],3,-8575345.18473187,4707549.29439127,55
Medical Center,Medical Center,"8810 ROCKVILLE PIKE, BETHESDA, MD",['Residential'],1,-8582393.72830057,4721680.78131054,56
Metro Center,Metro Center,"607 13TH STREET NW, WASHINGTON, DC",['Jobs'],4,-8574726.67395321,4707117.55592726,57
Minnesota Ave,Minnesota Ave,"4120 MINNESOTA AVENUE NE, WASHINGTON, DC",['Residential'],1,-8565673.027616,4707242.96403767,58
Morgan Boulevard,Morgan Boulevard,"300 GARRETT MORGAN BLVD., LANDOVER, MD",['Residential'],2,-8556915.19039228,4706476.84023331,59
Mt Vernon Sq,Mt Vernon Sq,"700 M STREET NW, WASHINGTON, DC","['Jobs', 'Tourist']",2,-8574040.54311174,4708279.41068819,60
Navy Yard-Ballpark,Navy Yard-Ballpark,"1155 NEW JERSEY AVENUE SE, WASHINGTON, DC","['Jobs', 'Events']",1,-8572167.17678031,4703995.07274476,61
Naylor Road,Naylor Road,"3101 BRANCH AVENUE, TEMPLE HILLS, MD",['Residential'],1,-8566732.22988446,4700395.21046822,62
New Carrollton,New Carrollton,"4700 GARDEN CITY DRIVE, NEW CARROLLTON, MD",['Residential'],1,-8557334.4778001,4714196.07531373,63
NoMa-Gallaudet U,NoMa-Gallaudet U,"1301 2ND STREET NE, WASHINGTON, DC","['University', 'Residential']",1,-8571937.27944776,4708362.29533758,64
North Bethesda,North Bethesda,"5500 MARINELLI ROAD, ROCKVILLE, MD",['Residential'],1,-8584161.21202061,4728572.31007086,65
Pentagon,Pentagon,"2 SOUTH ROTARY ROAD, ARLINGTON, VA",['Jobs'],2,-8577580.64771134,4702991.54813254,66
Pentagon City,Pentagon City,"1250 SOUTH HAYES ST., ARLINGTON, VA","['Jobs', 'Events']",2,-8578228.88887636,4701907.7872941,67
Potomac Ave,Potomac Ave,"1400 POTOMAC AVENUE SE, WASHINGTON, DC",['Residential'],3,-8569986.3903827,4704678.91139804,68
Potomac Yard,Potomac Yard,"2900 POTOMAC GREENS DRIVE, ALEXANDRIA, VA 22314 ",['Residential'],2,-8576766.75839349,4697923.27004573,69
Reston Town Center,Reston Town Center,"12023-A SUNSET HILLS RD, RESTON, VA 20190",['Residential'],1,-8611696.6689701,4714909.36513587,70
Rhode Island Ave,Rhode Island Ave,"801 RHODE ISLAND AVENUE NE, WASHINGTON, DC",['Residential'],1,-8571148.74427675,4710371.46485085,71
Rockville,Rockville,"251 HUNGERFORD DRIVE, ROCKVILLE, MD",['Residential'],1,-8587867.64933124,4733758.24795912,72
Ronald Reagan Washington National Airport,Ronald Reagan Washington National Airport,"2400 S. SMITH BLVD., ARLINGTON, VA","['Jobs', 'Events']",2,-8576503.81163741,4700697.5361925,73
Rosslyn,Rosslyn,"1850 N. MOORE STREET, ARLINGTON, VA",['Jobs'],3,-8579494.56582302,4706783.51792854,74
Shady Grove,Shady Grove,"15903 SOMERVILLE DRIVE, DERWOOD, MD",['Residential'],1,-8589927.28289121,4738865.84338745,75
Shaw-Howard U,Shaw-Howard U,"1801 7TH ST NW, WASHINGTON, DC","['University', 'Residential']",1,-8574040.24486766,4709286.55818245,76
Silver Spring,Silver Spring,"8400 COLESVILLE ROAD, SILVER SPRING, MD","['Residential', 'Jobs']",1,-8575053.93504469,4720806.02739682,77
Smithsonian,Smithsonian,"1201 JEFFERSON DRIVE SW, WASHINGTON, DC",['Tourist'],3,-8574725.36444348,4705644.99547212,78
