Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),MONTH,SEASON,Total Daily Entries
Shaw-Howard U,640.00,824.00,"1,123.00",486.00,27.0,January,Winter,3100.0
Silver Spring,"1,679.00","1,148.00","1,166.00",462.00,25.0,January,Winter,4480.0
Smithsonian,137.00,778.00,"1,869.00",194.00,13.0,January,Winter,2991.0
Southern Ave,991.00,583.00,370.00,187.00,9.0,January,Winter,2140.0
Spring Hill,115.00,140.00,171.00,66.00,7.0,January,Winter,499.0
Stadium-Armory,487.00,509.00,468.00,171.00,12.0,January,Winter,1647.0
Suitland,"1,034.00",624.00,459.00,236.00,12.0,January,Winter,2365.0
Takoma,"1,111.00",911.00,770.00,215.00,10.0,January,Winter,3017.0
Tenleytown-AU,536.00,802.00,"1,262.00",479.00,15.0,January,Winter,3094.0
Twinbrook,712.00,508.00,413.00,140.00,7.0,January,Winter,1780.0
Tysons,194.00,332.00,717.00,362.00,8.0,January,Winter,1613.0
U Street,831.00,"1,035.00","1,277.00",912.00,76.0,January,Winter,4131.0
Union Station,"2,658.00","2,503.00","4,001.00","1,395.00",29.0,January,Winter,10586.0
Van Dorn Street,537.00,272.00,175.00,71.00,4.0,January,Winter,1059.0
Van Ness-UDC,772.00,871.00,815.00,274.00,10.0,January,Winter,2742.0
Vienna,"1,342.00",734.00,476.00,149.00,5.0,January,Winter,2706.0
Virginia Sq-GMU,608.00,422.00,401.00,148.00,7.0,January,Winter,1586.0
Waterfront,536.00,628.00,782.00,350.00,12.0,January,Winter,2308.0
West Falls Church,427.00,216.00,138.00,48.00,3.0,January,Winter,832.0
West Hyattsville,929.00,545.00,391.00,109.00,7.0,January,Winter,1981.0
Wheaton,642.00,407.00,353.00,155.00,14.0,January,Winter,1571.0
Wiehle-Reston East,549.00,304.00,270.00,67.00,6.0,January,Winter,1196.0
Woodley Park,756.00,779.00,696.00,273.00,23.0,January,Winter,2527.0
Addison Road,670.00,322.00,171.00,84.00,6.0,February,Winter,1253.0
Anacostia,"1,169.00","1,005.00",983.00,276.00,11.0,February,Winter,3444.0
Archives,157.00,804.00,"2,458.00",573.00,14.0,February,Winter,4006.0
Arlington Cemetery,28.00,221.00,208.00,2.00,3.0,February,Winter,462.0
Ashburn,572.00,247.00,151.00,49.00,1.0,February,Winter,1020.0
Ballston-MU,"1,588.00","1,223.00","1,565.00",593.00,18.0,February,Winter,4987.0
Benning Road,821.00,566.00,405.00,167.00,8.0,February,Winter,1967.0
Bethesda,"1,150.00",971.00,"1,338.00",494.00,15.0,February,Winter,3968.0
Braddock Road,864.00,444.00,444.00,156.00,10.0,February,Winter,1918.0
Branch Ave,"1,248.00",447.00,286.00,114.00,10.0,February,Winter,2105.0
Brookland-CUA,"1,125.00","1,064.00","1,322.00",392.00,8.0,February,Winter,3911.0
Capitol Heights,606.00,329.00,235.00,90.00,8.0,February,Winter,1268.0
Capitol South,514.00,822.00,"2,074.00",388.00,6.0,February,Winter,3804.0
Cheverly,230.00,122.00,80.00,34.00,4.0,February,Winter,470.0
Clarendon,803.00,680.00,742.00,460.00,34.0,February,Winter,2719.0
Cleveland Park,678.00,599.00,525.00,236.00,8.0,February,Winter,2046.0
College Park-U of Md,577.00,544.00,636.00,236.00,7.0,February,Winter,2000.0
Columbia Heights,"1,776.00","2,100.00","2,743.00",983.00,30.0,February,Winter,7632.0
Congress Heights,593.00,417.00,396.00,138.00,11.0,February,Winter,1555.0
Court House,"1,220.00",922.00,891.00,358.00,11.0,February,Winter,3402.0
Crystal City,"1,211.00","1,207.00","1,571.00",436.00,18.0,February,Winter,4443.0
Deanwood,390.00,315.00,265.00,105.00,8.0,February,Winter,1083.0
Downtown Largo,"1,055.00",392.00,303.00,136.00,7.0,February,Winter,1893.0
Dulles Airport,200.00,340.00,646.00,372.00,3.0,February,Winter,1561.0
Dunn Loring,666.00,346.00,342.00,116.00,4.0,February,Winter,1474.0
Dupont Circle,"1,468.00","2,419.00","3,764.00","1,834.00",79.0,February,Winter,9564.0
East Falls Church,"1,040.00",570.00,419.00,126.00,6.0,February,Winter,2161.0
Eastern Market,888.00,"1,054.00","1,065.00",568.00,22.0,February,Winter,3597.0
Eisenhower Ave,412.00,250.00,323.00,99.00,4.0,February,Winter,1088.0
Farragut North,418.00,"1,547.00","5,060.00","1,349.00",55.0,February,Winter,8429.0
Farragut West,550.00,"1,511.00","4,727.00","1,124.00",30.0,February,Winter,7942.0
Federal Center SW,156.00,412.00,"1,112.00",113.00,5.0,February,Winter,1798.0
Federal Triangle,66.00,603.00,"2,020.00",254.00,9.0,February,Winter,2952.0
Foggy Bottom-GWU,"1,089.00","2,637.00","5,714.00","2,378.00",37.0,February,Winter,11855.0
Forest Glen,562.00,237.00,170.00,47.00,6.0,February,Winter,1022.0
Fort Totten,"2,322.00","1,516.00","1,421.00",402.00,24.0,February,Winter,5685.0
Franconia-Springfield,"1,395.00",650.00,452.00,134.00,5.0,February,Winter,2636.0
Friendship Heights,981.00,920.00,"1,006.00",347.00,24.0,February,Winter,3278.0
Gallery Place,715.00,"2,216.00","5,166.00","3,827.00",143.0,February,Winter,12067.0
Georgia Ave-Petworth,"1,243.00","1,148.00","1,223.00",424.00,17.0,February,Winter,4055.0
Glenmont,"1,503.00",668.00,410.00,137.00,12.0,February,Winter,2730.0
Greenbelt,"1,186.00",703.00,514.00,172.00,8.0,February,Winter,2583.0
Greensboro,184.00,184.00,362.00,119.00,4.0,February,Winter,853.0
Grosvenor-Strathmore,985.00,478.00,352.00,93.00,8.0,February,Winter,1916.0
Herndon,400.00,184.00,126.00,39.00,1.0,February,Winter,750.0
Huntington,"1,581.00",662.00,409.00,132.00,7.0,February,Winter,2791.0
Hyattsville Crossing,"1,032.00",791.00,724.00,309.00,12.0,February,Winter,2868.0
Innovation Center,261.00,186.00,167.00,39.00,1.0,February,Winter,654.0
Judiciary Square,245.00,733.00,"1,784.00",376.00,16.0,February,Winter,3154.0
King St-Old Town,959.00,904.00,985.00,405.00,18.0,February,Winter,3271.0
L'Enfant Plaza,997.00,"1,759.00","4,352.00",827.00,84.0,February,Winter,8019.0
Landover,467.00,184.00,114.00,52.00,5.0,February,Winter,822.0
Loudoun Gateway,110.00,45.00,49.00,12.00,1.0,February,Winter,217.0
McLean,260.00,262.00,787.00,139.00,5.0,February,Winter,1453.0
McPherson Sq,853.00,"1,222.00","2,982.00",849.00,57.0,February,Winter,5963.0
Medical Center,329.00,484.00,"1,439.00",271.00,15.0,February,Winter,2538.0
Metro Center,651.00,"2,042.00","6,083.00","2,025.00",54.0,February,Winter,10855.0
Minnesota Ave,563.00,512.00,514.00,204.00,12.0,February,Winter,1805.0
Morgan Boulevard,419.00,186.00,149.00,47.00,7.0,February,Winter,808.0
Mt Vernon Sq,618.00,835.00,"1,265.00",754.00,34.0,February,Winter,3506.0
Navy Yard-Ballpark,"1,356.00","1,376.00","2,301.00","1,024.00",45.0,February,Winter,6102.0
Naylor Road,626.00,339.00,231.00,147.00,6.0,February,Winter,1349.0
New Carrollton,"1,361.00",687.00,475.00,177.00,8.0,February,Winter,2708.0
NoMa-Gallaudet U,"2,340.00","2,239.00","3,163.00","1,009.00",45.0,February,Winter,8796.0
North Bethesda,601.00,455.00,490.00,188.00,7.0,February,Winter,1741.0
Pentagon,"1,657.00","1,186.00","2,876.00",214.00,9.0,February,Winter,5942.0
Pentagon City,"1,757.00","1,904.00","2,162.00",827.00,9.0,February,Winter,6659.0
Potomac Ave,969.00,622.00,472.00,206.00,7.0,February,Winter,2276.0
Potomac Yard,439.00,321.00,344.00,100.00,6.0,February,Winter,1210.0
Reston Town Center,233.00,166.00,241.00,68.00,2.0,February,Winter,710.0
Rhode Island Ave,"1,339.00","1,270.00","1,050.00",474.00,15.0,February,Winter,4148.0
Rockville,794.00,574.00,493.00,177.00,5.0,February,Winter,2043.0
Ronald Reagan Washington National Airport,477.00,"1,555.00","1,477.00","1,262.00",21.0,February,Winter,4792.0
Rosslyn,"1,388.00","1,654.00","2,514.00",748.00,24.0,February,Winter,6328.0
Shady Grove,"2,524.00","1,080.00",757.00,209.00,5.0,February,Winter,4575.0
Shaw-Howard U,717.00,899.00,"1,289.00",579.00,39.0,February,Winter,3523.0
Silver Spring,"1,965.00","1,448.00","1,465.00",598.00,27.0,February,Winter,5503.0
Smithsonian,143.00,978.00,"2,185.00",235.00,21.0,February,Winter,3562.0
Southern Ave,"1,202.00",576.00,363.00,166.00,8.0,February,Winter,2315.0
Spring Hill,126.00,153.00,190.00,77.00,6.0,February,Winter,552.0
Stadium-Armory,552.00,483.00,542.00,196.00,13.0,February,Winter,1786.0
Suitland,"1,135.00",594.00,418.00,197.00,10.0,February,Winter,2354.0
Takoma,"1,254.00",877.00,942.00,254.00,18.0,February,Winter,3345.0
Tenleytown-AU,675.00,906.00,"1,512.00",639.00,20.0,February,Winter,3752.0
Twinbrook,801.00,541.00,471.00,167.00,9.0,February,Winter,1989.0
Tysons,215.00,356.00,789.00,394.00,8.0,February,Winter,1762.0
U Street,936.00,"1,147.00","1,426.00","1,179.00",89.0,February,Winter,4777.0
Union Station,"3,188.00","2,669.00","4,346.00","1,516.00",32.0,February,Winter,11751.0
Van Dorn Street,606.00,300.00,197.00,84.00,6.0,February,Winter,1193.0
Van Ness-UDC,938.00,"1,133.00","1,106.00",420.00,21.0,February,Winter,3618.0
Vienna,"1,658.00",801.00,556.00,183.00,5.0,February,Winter,3203.0
Virginia Sq-GMU,700.00,507.00,512.00,195.00,6.0,February,Winter,1920.0
Waterfront,685.00,808.00,"1,136.00",600.00,26.0,February,Winter,3255.0
West Falls Church,506.00,242.00,156.00,55.00,3.0,February,Winter,962.0
West Hyattsville,"1,077.00",604.00,453.00,125.00,8.0,February,Winter,2267.0
Wheaton,739.00,494.00,432.00,172.00,8.0,February,Winter,1845.0
Wiehle-Reston East,645.00,319.00,311.00,78.00,5.0,February,Winter,1358.0
Woodley Park,880.00,821.00,808.00,304.00,22.0,February,Winter,2835.0
Addison Road,650.00,331.00,189.00,104.00,9.0,March,Spring,1283.0
Anacostia,"1,115.00","1,017.00",979.00,292.00,12.0,March,Spring,3415.0
Archives,162.00,"1,080.00","2,894.00",711.00,14.0,March,Spring,4861.0
Arlington Cemetery,38.00,733.00,609.00,3.00,4.0,March,Spring,1387.0
Ashburn,577.00,473.00,204.00,57.00,1.0,March,Spring,1312.0
Ballston-MU,"1,597.00","1,524.00","1,652.00",654.00,19.0,March,Spring,5446.0
Benning Road,786.00,537.00,383.00,161.00,9.0,March,Spring,1876.0
Bethesda,"1,111.00","1,174.00","1,352.00",490.00,16.0,March,Spring,4143.0
Braddock Road,853.00,590.00,501.00,190.00,10.0,March,Spring,2144.0
Branch Ave,"1,263.00",573.00,330.00,135.00,8.0,March,Spring,2309.0
Brookland-CUA,"1,098.00","1,211.00","1,360.00",414.00,10.0,March,Spring,4093.0
Capitol Heights,604.00,342.00,236.00,97.00,10.0,March,Spring,1289.0
Capitol South,524.00,"1,296.00","2,596.00",508.00,6.0,March,Spring,4930.0
Cheverly,235.00,148.00,83.00,35.00,3.0,March,Spring,504.0
Clarendon,759.00,806.00,827.00,539.00,43.0,March,Spring,2974.0
Cleveland Park,650.00,753.00,664.00,311.00,10.0,March,Spring,2388.0
College Park-U of Md,606.00,728.00,659.00,233.00,7.0,March,Spring,2233.0
Columbia Heights,"1,755.00","2,307.00","2,798.00","1,080.00",28.0,March,Spring,7968.0
Congress Heights,595.00,440.00,415.00,167.00,8.0,March,Spring,1625.0
Court House,"1,257.00","1,178.00","1,028.00",433.00,19.0,March,Spring,3915.0
Crystal City,"1,330.00","1,605.00","1,731.00",535.00,15.0,March,Spring,5216.0
Deanwood,370.00,335.00,272.00,115.00,9.0,March,Spring,1101.0
Downtown Largo,"1,049.00",458.00,309.00,151.00,7.0,March,Spring,1974.0
Dulles Airport,289.00,489.00,850.00,521.00,3.0,March,Spring,2152.0
Dunn Loring,665.00,489.00,401.00,126.00,4.0,March,Spring,1685.0
Dupont Circle,"1,490.00","2,870.00","3,963.00","2,150.00",95.0,March,Spring,10568.0
East Falls Church,"1,033.00",832.00,527.00,155.00,5.0,March,Spring,2552.0
Eastern Market,870.00,"1,342.00","1,246.00",683.00,20.0,March,Spring,4161.0
Eisenhower Ave,450.00,369.00,367.00,128.00,3.0,March,Spring,1317.0
Farragut North,421.00,"1,755.00","5,061.00","1,561.00",56.0,March,Spring,8854.0
Farragut West,563.00,"1,773.00","4,747.00","1,314.00",36.0,March,Spring,8433.0
Federal Center SW,167.00,603.00,"1,387.00",155.00,6.0,March,Spring,2318.0
Federal Triangle,80.00,952.00,"2,573.00",363.00,11.0,March,Spring,3979.0
Foggy Bottom-GWU,"1,186.00","3,145.00","5,882.00","2,571.00",39.0,March,Spring,12823.0
Forest Glen,540.00,329.00,201.00,54.00,5.0,March,Spring,1129.0
Fort Totten,"2,370.00","1,596.00","1,383.00",429.00,23.0,March,Spring,5801.0
Franconia-Springfield,"1,427.00","1,119.00",553.00,164.00,6.0,March,Spring,3269.0
Friendship Heights,"1,022.00","1,505.00","1,279.00",468.00,18.0,March,Spring,4292.0
Gallery Place,740.00,"2,545.00","5,690.00","5,655.00",201.0,March,Spring,14831.0
Georgia Ave-Petworth,"1,225.00","1,224.00","1,270.00",432.00,17.0,March,Spring,4168.0
Glenmont,"1,485.00",865.00,482.00,165.00,12.0,March,Spring,3009.0
Greenbelt,"1,250.00","1,118.00",632.00,210.00,9.0,March,Spring,3219.0
Greensboro,176.00,220.00,361.00,136.00,4.0,March,Spring,897.0
Grosvenor-Strathmore,941.00,680.00,564.00,248.00,26.0,March,Spring,2459.0
Herndon,403.00,275.00,153.00,45.00,1.0,March,Spring,877.0
Huntington,"1,573.00",928.00,517.00,162.00,11.0,March,Spring,3191.0
Hyattsville Crossing,"1,041.00",864.00,743.00,350.00,13.0,March,Spring,3011.0
Innovation Center,280.00,283.00,222.00,49.00,1.0,March,Spring,835.0
Judiciary Square,235.00,864.00,"1,814.00",447.00,17.0,March,Spring,3377.0
King St-Old Town,"1,127.00","1,382.00","1,160.00",517.00,23.0,March,Spring,4209.0
L'Enfant Plaza,"1,010.00","2,422.00","5,629.00","1,340.00",80.0,March,Spring,10481.0
Landover,467.00,205.00,117.00,60.00,5.0,March,Spring,854.0
Loudoun Gateway,109.00,75.00,58.00,13.00,1.0,March,Spring,256.0
McLean,255.00,315.00,761.00,154.00,6.0,March,Spring,1491.0
McPherson Sq,900.00,"1,617.00","3,145.00","1,025.00",57.0,March,Spring,6744.0
Medical Center,300.00,443.00,"1,283.00",205.00,10.0,March,Spring,2241.0
Metro Center,720.00,"2,759.00","6,727.00","2,890.00",86.0,March,Spring,13182.0
Minnesota Ave,538.00,511.00,473.00,190.00,17.0,March,Spring,1729.0
Morgan Boulevard,416.00,204.00,155.00,52.00,5.0,March,Spring,832.0
Mt Vernon Sq,616.00,"1,004.00","1,487.00",853.00,32.0,March,Spring,3992.0
Navy Yard-Ballpark,"1,296.00","1,606.00","2,686.00","1,247.00",47.0,March,Spring,6882.0
Naylor Road,609.00,346.00,229.00,149.00,8.0,March,Spring,1341.0
New Carrollton,"1,388.00",959.00,524.00,196.00,8.0,March,Spring,3075.0
NoMa-Gallaudet U,"2,299.00","2,658.00","3,329.00","1,184.00",37.0,March,Spring,9507.0
North Bethesda,576.00,521.00,518.00,205.00,10.0,March,Spring,1830.0
Pentagon,"1,610.00","1,358.00","2,873.00",240.00,8.0,March,Spring,6089.0
Pentagon City,"1,739.00","2,293.00","2,419.00","1,013.00",13.0,March,Spring,7477.0
Potomac Ave,934.00,716.00,535.00,247.00,7.0,March,Spring,2439.0
Potomac Yard,448.00,423.00,385.00,125.00,7.0,March,Spring,1388.0
Reston Town Center,228.00,220.00,259.00,82.00,2.0,March,Spring,791.0
