Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),MONTH,SEASON,Total Daily Entries
Friendship Heights,"1,088.00","1,167.00","1,181.00",433.00,19.0,April,Spring,3888.0
Gallery Place,753.00,"2,480.00","5,353.00","4,479.00",116.0,April,Spring,13181.0
Georgia Ave-Petworth,"1,299.00","1,226.00","1,271.00",466.00,17.0,April,Spring,4279.0
Glenmont,"1,660.00",804.00,471.00,166.00,13.0,April,Spring,3114.0
Greenbelt,"1,387.00",972.00,622.00,201.00,7.0,April,Spring,3189.0
Greensboro,196.00,213.00,386.00,140.00,5.0,April,Spring,940.0
Grosvenor-Strathmore,"1,072.00",642.00,433.00,123.00,6.0,April,Spring,2276.0
Herndon,437.00,245.00,157.00,45.00,2.0,April,Spring,886.0
Huntington,"1,798.00",907.00,545.00,166.00,11.0,April,Spring,3427.0
Hyattsville Crossing,"1,102.00",805.00,675.00,311.00,11.0,April,Spring,2904.0
Innovation Center,310.00,277.00,232.00,49.00,1.0,April,Spring,869.0
Judiciary Square,243.00,890.00,"2,118.00",495.00,16.0,April,Spring,3762.0
King St-Old Town,"1,191.00","1,339.00","1,183.00",535.00,16.0,April,Spring,4264.0
L'Enfant Plaza,"1,069.00","2,375.00","5,424.00","1,208.00",59.0,April,Spring,10135.0
Landover,530.00,214.00,124.00,69.00,7.0,April,Spring,944.0
Loudoun Gateway,128.00,67.00,59.00,15.00,1.0,April,Spring,270.0
McLean,300.00,335.00,834.00,173.00,7.0,April,Spring,1649.0
McPherson Sq,982.00,"1,656.00","3,325.00","1,027.00",51.0,April,Spring,7041.0
Medical Center,349.00,511.00,"1,424.00",220.00,6.0,April,Spring,2510.0
Metro Center,758.00,"2,789.00","6,881.00","2,836.00",58.0,April,Spring,13322.0
Minnesota Ave,490.00,410.00,418.00,170.00,13.0,April,Spring,1501.0
Morgan Boulevard,464.00,220.00,165.00,57.00,7.0,April,Spring,913.0
Mt Vernon Sq,652.00,919.00,"1,291.00",730.00,24.0,April,Spring,3616.0
Navy Yard-Ballpark,"1,400.00","1,655.00","3,981.00","3,775.00",64.0,April,Spring,10875.0
Naylor Road,648.00,374.00,240.00,159.00,7.0,April,Spring,1428.0
New Carrollton,"1,529.00",853.00,524.00,191.00,10.0,April,Spring,3107.0
NoMa-Gallaudet U,"2,499.00","2,689.00","3,367.00","1,222.00",32.0,April,Spring,9809.0
North Bethesda,656.00,565.00,551.00,230.00,7.0,April,Spring,2009.0
Pentagon,"1,841.00","1,494.00","3,093.00",253.00,12.0,April,Spring,6693.0
Pentagon City,"1,952.00","2,341.00","2,461.00","1,061.00",13.0,April,Spring,7828.0
Potomac Ave,990.00,714.00,527.00,238.00,9.0,April,Spring,2478.0
Potomac Yard,501.00,410.00,401.00,122.00,6.0,April,Spring,1440.0
Reston Town Center,256.00,226.00,284.00,83.00,3.0,April,Spring,852.0
Rhode Island Ave,"1,397.00","1,277.00","1,074.00",576.00,17.0,April,Spring,4341.0
Rockville,894.00,661.00,545.00,221.00,6.0,April,Spring,2327.0
Ronald Reagan Washington National Airport,646.00,"1,885.00","1,660.00","1,540.00",21.0,April,Spring,5752.0
Rosslyn,"1,561.00","1,984.00","2,777.00",897.00,27.0,April,Spring,7246.0
Shady Grove,"2,835.00","1,475.00",901.00,248.00,7.0,April,Spring,5466.0
Shaw-Howard U,655.00,876.00,"1,201.00",557.00,31.0,April,Spring,3320.0
Silver Spring,"2,089.00","1,638.00","1,491.00",599.00,19.0,April,Spring,5836.0
Smithsonian,195.00,"1,941.00","3,979.00",722.00,19.0,April,Spring,6856.0
Southern Ave,"1,233.00",655.00,403.00,205.00,10.0,April,Spring,2506.0
Spring Hill,167.00,196.00,233.00,90.00,6.0,April,Spring,692.0
Stadium-Armory,646.00,761.00,660.00,648.00,28.0,April,Spring,2743.0
Suitland,"1,158.00",553.00,350.00,152.00,5.0,April,Spring,2218.0
Takoma,"1,333.00",961.00,918.00,272.00,13.0,April,Spring,3497.0
Tenleytown-AU,685.00,"1,052.00","1,608.00",674.00,18.0,April,Spring,4037.0
Twinbrook,891.00,642.00,513.00,185.00,9.0,April,Spring,2240.0
Tysons,264.00,464.00,880.00,474.00,8.0,April,Spring,2090.0
U Street,971.00,"1,231.00","1,518.00","1,256.00",92.0,April,Spring,5068.0
Union Station,"3,446.00","3,398.00","4,965.00","1,962.00",28.0,April,Spring,13799.0
Van Dorn Street,687.00,394.00,251.00,109.00,7.0,April,Spring,1448.0
Van Ness-UDC,951.00,"1,011.00",921.00,330.00,13.0,April,Spring,3226.0
Vienna,"1,760.00","1,199.00",737.00,221.00,5.0,April,Spring,3922.0
Virginia Sq-GMU,764.00,622.00,587.00,219.00,8.0,April,Spring,2200.0
Waterfront,671.00,865.00,"1,166.00",787.00,26.0,April,Spring,3515.0
West Falls Church,570.00,333.00,185.00,62.00,4.0,April,Spring,1154.0
West Hyattsville,"1,171.00",668.00,485.00,151.00,7.0,April,Spring,2482.0
Wheaton,797.00,575.00,460.00,206.00,10.0,April,Spring,2048.0
Wiehle-Reston East,693.00,440.00,376.00,87.00,8.0,April,Spring,1604.0
Woodley Park,946.00,"1,351.00","1,522.00",426.00,22.0,April,Spring,4267.0
Addison Road,774.00,434.00,233.00,132.00,8.0,May,Spring,1581.0
Anacostia,"1,223.00","1,066.00","1,043.00",345.00,12.0,May,Spring,3689.0
Archives,161.00,964.00,"2,690.00",677.00,13.0,May,Spring,4505.0
Arlington Cemetery,43.00,803.00,497.00,34.00,3.0,May,Spring,1380.0
Ashburn,643.00,351.00,192.00,74.00,1.0,May,Spring,1261.0
Ballston-MU,"1,738.00","1,375.00","1,642.00",626.00,24.0,May,Spring,5405.0
Benning Road,839.00,533.00,328.00,116.00,5.0,May,Spring,1821.0
Bethesda,"1,227.00","1,266.00","1,524.00",570.00,14.0,May,Spring,4601.0
Braddock Road,930.00,534.00,501.00,210.00,10.0,May,Spring,2185.0
Branch Ave,"1,375.00",541.00,339.00,148.00,10.0,May,Spring,2413.0
Brookland-CUA,"1,164.00","1,046.00","1,178.00",351.00,10.0,May,Spring,3749.0
Capitol Heights,655.00,358.00,229.00,94.00,7.0,May,Spring,1343.0
Capitol South,496.00,"1,113.00","2,367.00",531.00,8.0,May,Spring,4515.0
Cheverly,262.00,137.00,91.00,37.00,3.0,May,Spring,530.0
Clarendon,799.00,733.00,772.00,495.00,41.0,May,Spring,2840.0
Cleveland Park,681.00,721.00,644.00,294.00,8.0,May,Spring,2348.0
College Park-U of Md,656.00,626.00,618.00,224.00,8.0,May,Spring,2132.0
Columbia Heights,"1,802.00","2,220.00","2,866.00","1,115.00",26.0,May,Spring,8029.0
Congress Heights,644.00,471.00,415.00,191.00,5.0,May,Spring,1726.0
Court House,"1,265.00",985.00,968.00,412.00,17.0,May,Spring,3647.0
Crystal City,"1,291.00","1,387.00","1,651.00",506.00,14.0,May,Spring,4849.0
Deanwood,404.00,330.00,250.00,106.00,9.0,May,Spring,1099.0
Downtown Largo,"1,117.00",367.00,260.00,113.00,11.0,May,Spring,1868.0
Dulles Airport,385.00,581.00,"1,028.00",606.00,4.0,May,Spring,2604.0
Dunn Loring,718.00,414.00,395.00,137.00,4.0,May,Spring,1668.0
Dupont Circle,"1,537.00","2,749.00","4,128.00","2,122.00",71.0,May,Spring,10607.0
East Falls Church,"1,129.00",684.00,505.00,155.00,10.0,May,Spring,2483.0
Eastern Market,871.00,"1,156.00","1,088.00",655.00,17.0,May,Spring,3787.0
Eisenhower Ave,451.00,314.00,346.00,124.00,3.0,May,Spring,1238.0
Farragut North,467.00,"1,916.00","5,357.00","1,603.00",48.0,May,Spring,9391.0
Farragut West,611.00,"1,805.00","4,889.00","1,270.00",29.0,May,Spring,8604.0
Federal Center SW,173.00,574.00,"1,357.00",175.00,6.0,May,Spring,2285.0
Federal Triangle,75.00,824.00,"2,352.00",341.00,10.0,May,Spring,3602.0
Foggy Bottom-GWU,"1,192.00","2,832.00","5,513.00","2,252.00",32.0,May,Spring,11821.0
Forest Glen,606.00,276.00,185.00,63.00,9.0,May,Spring,1139.0
Fort Totten,"2,579.00","1,686.00","1,526.00",500.00,34.0,May,Spring,6325.0
Franconia-Springfield,"1,464.00",860.00,554.00,183.00,7.0,May,Spring,3068.0
Friendship Heights,"1,030.00","1,108.00","1,130.00",419.00,16.0,May,Spring,3703.0
Gallery Place,759.00,"2,366.00","4,917.00","3,014.00",94.0,May,Spring,11150.0
Georgia Ave-Petworth,"1,318.00","1,209.00","1,281.00",449.00,13.0,May,Spring,4270.0
Glenmont,"1,577.00",726.00,427.00,167.00,13.0,May,Spring,2910.0
Greenbelt,"1,382.00",834.00,569.00,217.00,7.0,May,Spring,3009.0
Greensboro,193.00,208.00,379.00,145.00,5.0,May,Spring,930.0
Grosvenor-Strathmore,"1,038.00",593.00,389.00,122.00,8.0,May,Spring,2150.0
Herndon,437.00,231.00,153.00,52.00,2.0,May,Spring,875.0
Huntington,"1,730.00",820.00,522.00,185.00,12.0,May,Spring,3269.0
Hyattsville Crossing,"1,127.00",815.00,689.00,319.00,11.0,May,Spring,2961.0
Innovation Center,309.00,260.00,233.00,54.00,1.0,May,Spring,857.0
Judiciary Square,234.00,828.00,"1,869.00",423.00,13.0,May,Spring,3367.0
King St-Old Town,"1,149.00","1,220.00","1,137.00",558.00,23.0,May,Spring,4087.0
L'Enfant Plaza,"1,046.00","2,152.00","4,947.00","1,211.00",65.0,May,Spring,9421.0
Landover,518.00,198.00,125.00,65.00,4.0,May,Spring,910.0
Loudoun Gateway,124.00,69.00,64.00,17.00,1.0,May,Spring,275.0
McLean,302.00,330.00,781.00,197.00,8.0,May,Spring,1618.0
McPherson Sq,917.00,"1,576.00","3,172.00",981.00,52.0,May,Spring,6698.0
Medical Center,349.00,512.00,"1,392.00",220.00,5.0,May,Spring,2478.0
Metro Center,737.00,"2,511.00","6,462.00","2,351.00",56.0,May,Spring,12117.0
Minnesota Ave,545.00,446.00,433.00,151.00,14.0,May,Spring,1589.0
Morgan Boulevard,445.00,183.00,147.00,110.00,11.0,May,Spring,896.0
Mt Vernon Sq,645.00,935.00,"1,354.00",712.00,27.0,May,Spring,3673.0
Navy Yard-Ballpark,"1,344.00","1,548.00","3,345.00","3,383.00",57.0,May,Spring,9677.0
Naylor Road,665.00,328.00,200.00,130.00,7.0,May,Spring,1330.0
New Carrollton,"1,491.00",783.00,506.00,183.00,7.0,May,Spring,2970.0
NoMa-Gallaudet U,"2,324.00","2,485.00","3,295.00","1,240.00",32.0,May,Spring,9376.0
North Bethesda,638.00,523.00,550.00,224.00,7.0,May,Spring,1942.0
Pentagon,"1,772.00","1,428.00","2,809.00",233.00,10.0,May,Spring,6252.0
Pentagon City,"1,799.00","2,159.00","2,376.00","1,051.00",11.0,May,Spring,7396.0
Potomac Ave,983.00,680.00,509.00,223.00,8.0,May,Spring,2403.0
Potomac Yard,489.00,383.00,393.00,133.00,6.0,May,Spring,1404.0
Reston Town Center,264.00,230.00,286.00,93.00,2.0,May,Spring,875.0
Rhode Island Ave,"1,451.00","1,389.00","1,144.00",588.00,15.0,May,Spring,4587.0
Rockville,866.00,629.00,523.00,219.00,6.0,May,Spring,2243.0
Ronald Reagan Washington National Airport,640.00,"1,900.00","1,713.00","1,612.00",20.0,May,Spring,5885.0
Rosslyn,"1,407.00","1,832.00","2,583.00",864.00,24.0,May,Spring,6710.0
Shady Grove,"2,801.00","1,353.00",829.00,258.00,6.0,May,Spring,5247.0
Shaw-Howard U,672.00,801.00,"1,161.00",522.00,31.0,May,Spring,3187.0
Silver Spring,"2,041.00","1,557.00","1,476.00",631.00,25.0,May,Spring,5730.0
Smithsonian,163.00,"1,519.00","3,126.00",743.00,16.0,May,Spring,5567.0
Southern Ave,"1,285.00",640.00,411.00,225.00,7.0,May,Spring,2568.0
Spring Hill,159.00,195.00,241.00,98.00,5.0,May,Spring,698.0
Stadium-Armory,548.00,533.00,510.00,185.00,13.0,May,Spring,1789.0
Suitland,"1,207.00",576.00,362.00,170.00,8.0,May,Spring,2323.0
Takoma,"1,314.00",924.00,976.00,317.00,20.0,May,Spring,3551.0
Tenleytown-AU,673.00,866.00,"1,434.00",473.00,14.0,May,Spring,3460.0
Twinbrook,874.00,625.00,488.00,193.00,7.0,May,Spring,2187.0
Tysons,259.00,451.00,910.00,493.00,9.0,May,Spring,2122.0
U Street,934.00,"1,153.00","1,482.00","1,227.00",100.0,May,Spring,4896.0
Union Station,"3,294.00","3,208.00","4,787.00","1,998.00",30.0,May,Spring,13317.0
Van Dorn Street,672.00,361.00,244.00,109.00,8.0,May,Spring,1394.0
Van Ness-UDC,922.00,979.00,882.00,254.00,6.0,May,Spring,3043.0
Vienna,"1,705.00","1,000.00",609.00,205.00,6.0,May,Spring,3525.0
Virginia Sq-GMU,709.00,555.00,534.00,191.00,7.0,May,Spring,1996.0
Waterfront,665.00,821.00,"1,076.00",800.00,27.0,May,Spring,3389.0
West Falls Church,541.00,290.00,179.00,58.00,4.0,May,Spring,1072.0
West Hyattsville,"1,191.00",620.00,456.00,142.00,7.0,May,Spring,2416.0
Wheaton,739.00,535.00,459.00,214.00,11.0,May,Spring,1958.0
Wiehle-Reston East,672.00,406.00,369.00,103.00,8.0,May,Spring,1558.0
Woodley Park,926.00,"1,255.00","1,351.00",409.00,26.0,May,Spring,3967.0
Addison Road,661.00,372.00,215.00,120.00,10.0,June,Summer,1378.0
Anacostia,"1,004.00","1,102.00",956.00,379.00,15.0,June,Summer,3456.0
Archives,159.00,"1,128.00","3,093.00","1,036.00",21.0,June,Summer,5437.0
Arlington Cemetery,50.00,854.00,495.00,50.00,7.0,June,Summer,1456.0
Ashburn,670.00,427.00,239.00,88.00,1.0,June,Summer,1425.0
Ballston-MU,"1,666.00","1,455.00","1,723.00",670.00,24.0,June,Summer,5538.0
Benning Road,692.00,541.00,311.00,138.00,8.0,June,Summer,1690.0
Bethesda,"1,212.00","1,329.00","1,609.00",633.00,14.0,June,Summer,4797.0
Braddock Road,848.00,555.00,526.00,224.00,12.0,June,Summer,2165.0
Branch Ave,"1,225.00",595.00,365.00,138.00,8.0,June,Summer,2331.0
Brookland-CUA,"1,114.00","1,091.00","1,073.00",356.00,10.0,June,Summer,3644.0
Capitol Heights,548.00,340.00,192.00,84.00,5.0,June,Summer,1169.0
Capitol South,457.00,"1,244.00","2,802.00",572.00,8.0,June,Summer,5083.0
Cheverly,244.00,147.00,94.00,41.00,5.0,June,Summer,531.0
Clarendon,770.00,776.00,848.00,520.00,50.0,June,Summer,2964.0
Cleveland Park,642.00,767.00,641.00,317.00,11.0,June,Summer,2378.0
College Park-U of Md,836.00,813.00,586.00,209.00,8.0,June,Summer,2452.0
Columbia Heights,"1,669.00","2,315.00","2,657.00","1,135.00",30.0,June,Summer,7806.0
Congress Heights,520.00,481.00,398.00,182.00,5.0,June,Summer,1586.0
Court House,"1,195.00","1,031.00","1,004.00",436.00,17.0,June,Summer,3683.0
Crystal City,"1,243.00","1,335.00","1,670.00",531.00,16.0,June,Summer,4795.0
Deanwood,336.00,281.00,199.00,82.00,6.0,June,Summer,904.0
Downtown Largo,"1,047.00",470.00,338.00,192.00,13.0,June,Summer,2060.0
Dulles Airport,438.00,591.00,987.00,602.00,5.0,June,Summer,2623.0
Dunn Loring,683.00,443.00,404.00,143.00,3.0,June,Summer,1676.0
Dupont Circle,"1,557.00","2,726.00","3,805.00","2,451.00",94.0,June,Summer,10633.0
East Falls Church,"1,064.00",765.00,564.00,184.00,5.0,June,Summer,2582.0
Eastern Market,807.00,"1,313.00","1,133.00",688.00,14.0,June,Summer,3955.0
Eisenhower Ave,418.00,338.00,361.00,142.00,4.0,June,Summer,1263.0
Farragut North,484.00,"1,771.00","4,828.00","1,570.00",59.0,June,Summer,8712.0
Farragut West,674.00,"1,749.00","4,604.00","1,342.00",43.0,June,Summer,8412.0
Federal Center SW,172.00,584.00,"1,401.00",171.00,6.0,June,Summer,2334.0
Federal Triangle,71.00,904.00,"2,420.00",426.00,11.0,June,Summer,3832.0
Foggy Bottom-GWU,"1,769.00","2,900.00","5,142.00","2,335.00",44.0,June,Summer,12190.0
Forest Glen,91.00,62.00,52.00,38.00,20.0,June,Summer,263.0
Fort Totten,"4,074.00","2,951.00","2,222.00",908.00,34.0,June,Summer,10189.0
Franconia-Springfield,"1,398.00","1,033.00",638.00,201.00,11.0,June,Summer,3281.0
Friendship Heights,"1,022.00","1,152.00","1,124.00",445.00,14.0,June,Summer,3757.0
Gallery Place,735.00,"2,442.00","4,866.00","3,488.00",116.0,June,Summer,11647.0
Georgia Ave-Petworth,"1,217.00","1,245.00","1,163.00",475.00,17.0,June,Summer,4117.0
Glenmont,4.00,4.00,2.00,3.00,1.0,June,Summer,14.0
Greenbelt,"1,429.00","1,029.00",654.00,243.00,7.0,June,Summer,3362.0
Greensboro,194.00,219.00,394.00,160.00,5.0,June,Summer,972.0
Grosvenor-Strathmore,"1,106.00",708.00,446.00,135.00,7.0,June,Summer,2402.0
Herndon,423.00,266.00,172.00,55.00,1.0,June,Summer,917.0
Huntington,"1,675.00",915.00,578.00,208.00,10.0,June,Summer,3386.0
Hyattsville Crossing,"1,089.00",842.00,688.00,349.00,9.0,June,Summer,2977.0
Innovation Center,311.00,289.00,274.00,63.00,2.0,June,Summer,939.0
Judiciary Square,235.00,747.00,"1,740.00",413.00,16.0,June,Summer,3151.0
King St-Old Town,"1,122.00","1,290.00","1,142.00",626.00,24.0,June,Summer,4204.0
L'Enfant Plaza,971.00,"2,328.00","5,210.00","1,670.00",82.0,June,Summer,10261.0
Landover,480.00,209.00,124.00,67.00,6.0,June,Summer,886.0
Loudoun Gateway,130.00,72.00,73.00,19.00,2.0,June,Summer,296.0
McLean,300.00,365.00,933.00,260.00,8.0,June,Summer,1866.0
McPherson Sq,896.00,"1,625.00","3,299.00","1,106.00",57.0,June,Summer,6983.0
Medical Center,360.00,529.00,"1,357.00",226.00,9.0,June,Summer,2481.0
Metro Center,906.00,"2,668.00","6,231.00","2,517.00",63.0,June,Summer,12385.0
Minnesota Ave,470.00,465.00,368.00,153.00,9.0,June,Summer,1465.0
Morgan Boulevard,401.00,207.00,175.00,348.00,14.0,June,Summer,1145.0
Mt Vernon Sq,625.00,"1,056.00","1,409.00",766.00,28.0,June,Summer,3884.0
Navy Yard-Ballpark,"1,250.00","1,623.00","3,654.00","4,330.00",90.0,June,Summer,10947.0
Naylor Road,543.00,318.00,174.00,105.00,5.0,June,Summer,1145.0
New Carrollton,"1,457.00",887.00,529.00,194.00,8.0,June,Summer,3075.0
NoMa-Gallaudet U,"2,334.00","2,582.00","3,063.00","1,316.00",38.0,June,Summer,9333.0
North Bethesda,681.00,594.00,579.00,246.00,7.0,June,Summer,2107.0
Pentagon,"1,646.00","1,403.00","2,603.00",240.00,7.0,June,Summer,5899.0
Pentagon City,"1,739.00","2,168.00","2,480.00","1,089.00",9.0,June,Summer,7485.0
Potomac Ave,856.00,693.00,486.00,253.00,10.0,June,Summer,2298.0
Potomac Yard,467.00,424.00,433.00,150.00,5.0,June,Summer,1479.0
Reston Town Center,274.00,247.00,311.00,105.00,4.0,June,Summer,941.0
Rhode Island Ave,"1,251.00","1,276.00","1,011.00",535.00,16.0,June,Summer,4089.0
Rockville,923.00,713.00,585.00,256.00,8.0,June,Summer,2485.0
Ronald Reagan Washington National Airport,626.00,"1,937.00","1,714.00","1,595.00",19.0,June,Summer,5891.0
Rosslyn,"1,434.00","1,843.00","2,623.00",925.00,25.0,June,Summer,6850.0
Shady Grove,"2,775.00","1,533.00",921.00,287.00,7.0,June,Summer,5523.0
Shaw-Howard U,599.00,815.00,"1,000.00",562.00,33.0,June,Summer,3009.0
Smithsonian,163.00,"1,661.00","3,648.00","1,198.00",28.0,June,Summer,6698.0
Southern Ave,"1,136.00",652.00,405.00,229.00,10.0,June,Summer,2432.0
Spring Hill,170.00,203.00,248.00,109.00,5.0,June,Summer,735.0
Stadium-Armory,502.00,548.00,440.00,232.00,16.0,June,Summer,1738.0
Suitland,"1,067.00",601.00,370.00,196.00,12.0,June,Summer,2246.0
Takoma,60.00,89.00,66.00,37.00,10.0,June,Summer,262.0
Tenleytown-AU,708.00,840.00,"1,098.00",414.00,12.0,June,Summer,3072.0
Twinbrook,"1,011.00",747.00,561.00,214.00,8.0,June,Summer,2541.0
Tysons,247.00,502.00,985.00,529.00,9.0,June,Summer,2272.0
U Street,879.00,"1,197.00","1,621.00","1,430.00",127.0,June,Summer,5254.0
Union Station,"3,024.00","3,152.00","4,525.00","2,061.00",29.0,June,Summer,12791.0
Van Dorn Street,626.00,387.00,274.00,120.00,8.0,June,Summer,1415.0
Van Ness-UDC,855.00,932.00,803.00,264.00,7.0,June,Summer,2861.0
Vienna,"1,652.00","1,157.00",729.00,241.00,7.0,June,Summer,3786.0
Virginia Sq-GMU,691.00,611.00,599.00,250.00,9.0,June,Summer,2160.0
Waterfront,604.00,879.00,"1,165.00","1,094.00",36.0,June,Summer,3778.0
West Falls Church,504.00,327.00,199.00,68.00,5.0,June,Summer,1103.0
West Hyattsville,"1,069.00",647.00,441.00,144.00,6.0,June,Summer,2307.0
Wheaton,9.00,6.00,3.00,3.00,4.0,June,Summer,25.0
Wiehle-Reston East,649.00,471.00,408.00,112.00,8.0,June,Summer,1648.0
Woodley Park,"1,020.00","1,464.00","1,474.00",479.00,32.0,June,Summer,4469.0
Addison Road,662.00,376.00,198.00,116.00,9.0,July,Summer,1361.0
Anacostia,"1,015.00","1,103.00",914.00,350.00,14.0,July,Summer,3396.0
Archives,160.00,"1,081.00","2,776.00",830.00,12.0,July,Summer,4859.0
Arlington Cemetery,45.00,759.00,492.00,163.00,5.0,July,Summer,1464.0
Ashburn,671.00,439.00,293.00,95.00,2.0,July,Summer,1500.0
Ballston-MU,"1,646.00","1,366.00","1,672.00",685.00,21.0,July,Summer,5390.0
Benning Road,687.00,490.00,287.00,134.00,8.0,July,Summer,1606.0
Bethesda,"1,205.00","1,244.00","1,564.00",623.00,14.0,July,Summer,4650.0
Braddock Road,859.00,506.00,511.00,237.00,10.0,July,Summer,2123.0
Branch Ave,"1,300.00",546.00,364.00,146.00,7.0,July,Summer,2363.0
Brookland-CUA,983.00,"1,092.00","1,066.00",350.00,11.0,July,Summer,3502.0
Capitol Heights,538.00,315.00,182.00,93.00,6.0,July,Summer,1134.0
Capitol South,451.00,"1,347.00","2,897.00",625.00,8.0,July,Summer,5328.0
Cheverly,244.00,150.00,97.00,47.00,8.0,July,Summer,546.0
Clarendon,767.00,729.00,814.00,519.00,40.0,July,Summer,2869.0
Cleveland Park,640.00,701.00,590.00,288.00,18.0,July,Summer,2237.0
College Park-U of Md,741.00,605.00,539.00,199.00,5.0,July,Summer,2089.0
Columbia Heights,"1,631.00","2,223.00","2,462.00","1,088.00",24.0,July,Summer,7428.0
Congress Heights,499.00,424.00,280.00,120.00,6.0,July,Summer,1329.0
Court House,"1,222.00","1,025.00",995.00,453.00,15.0,July,Summer,3710.0
Crystal City,"1,264.00","1,410.00","1,686.00",584.00,20.0,July,Summer,4964.0
Deanwood,335.00,298.00,194.00,81.00,8.0,July,Summer,916.0
Downtown Largo,"1,061.00",454.00,332.00,194.00,9.0,July,Summer,2050.0
Dulles Airport,452.00,601.00,"1,014.00",625.00,4.0,July,Summer,2696.0
Dunn Loring,660.00,395.00,414.00,152.00,4.0,July,Summer,1625.0
Dupont Circle,"1,524.00","2,588.00","3,585.00","2,008.00",73.0,July,Summer,9778.0
East Falls Church,"1,059.00",717.00,553.00,203.00,5.0,July,Summer,2537.0
Eastern Market,804.00,"1,264.00","1,109.00",637.00,13.0,July,Summer,3827.0
Eisenhower Ave,420.00,322.00,344.00,150.00,5.0,July,Summer,1241.0
Farragut North,517.00,"1,771.00","4,833.00","1,570.00",45.0,July,Summer,8736.0
Farragut West,698.00,"1,782.00","4,720.00","1,266.00",34.0,July,Summer,8500.0
Federal Center SW,159.00,599.00,"1,457.00",233.00,5.0,July,Summer,2453.0
Federal Triangle,74.00,951.00,"2,349.00",470.00,7.0,July,Summer,3851.0
Foggy Bottom-GWU,"1,764.00","2,951.00","5,267.00","2,309.00",35.0,July,Summer,12326.0
Forest Glen,94.00,65.00,59.00,39.00,20.0,July,Summer,277.0
Fort Totten,"3,262.00","2,224.00","1,659.00",741.00,25.0,July,Summer,7911.0
Franconia-Springfield,"1,407.00",973.00,697.00,250.00,17.0,July,Summer,3344.0
Friendship Heights,"1,023.00","1,115.00","1,060.00",428.00,18.0,July,Summer,3644.0
Gallery Place,756.00,"2,476.00","4,910.00","3,482.00",94.0,July,Summer,11718.0
Georgia Ave-Petworth,"1,172.00","1,176.00","1,010.00",466.00,13.0,July,Summer,3837.0
Glenmont,3.00,2.00,1.00,2.00,3.0,July,Summer,11.0
Greenbelt,"1,366.00",923.00,676.00,240.00,9.0,July,Summer,3214.0
Greensboro,183.00,216.00,396.00,159.00,4.0,July,Summer,958.0
Grosvenor-Strathmore,"1,070.00",637.00,432.00,148.00,6.0,July,Summer,2293.0
Herndon,437.00,260.00,184.00,62.00,2.0,July,Summer,945.0
Huntington,"1,696.00",889.00,573.00,235.00,11.0,July,Summer,3404.0
Hyattsville Crossing,"1,036.00",752.00,637.00,332.00,12.0,July,Summer,2769.0
Innovation Center,317.00,283.00,288.00,72.00,3.0,July,Summer,963.0
Judiciary Square,251.00,783.00,"1,785.00",419.00,17.0,July,Summer,3255.0
King St-Old Town,"1,049.00","1,164.00","1,057.00",581.00,16.0,July,Summer,3867.0
L'Enfant Plaza,963.00,"2,381.00","5,288.00","1,686.00",71.0,July,Summer,10389.0
Landover,490.00,205.00,126.00,72.00,8.0,July,Summer,901.0
Loudoun Gateway,130.00,72.00,77.00,24.00,2.0,July,Summer,305.0
McLean,288.00,347.00,924.00,242.00,7.0,July,Summer,1808.0
McPherson Sq,898.00,"1,719.00","3,204.00","1,087.00",46.0,July,Summer,6954.0
Medical Center,358.00,533.00,"1,487.00",241.00,7.0,July,Summer,2626.0
Metro Center,920.00,"2,719.00","6,330.00","2,662.00",63.0,July,Summer,12694.0
Minnesota Ave,449.00,434.00,333.00,145.00,10.0,July,Summer,1371.0
Morgan Boulevard,412.00,200.00,150.00,233.00,12.0,July,Summer,1007.0
Mt Vernon Sq,537.00,853.00,"1,050.00",644.00,28.0,July,Summer,3112.0
Navy Yard-Ballpark,"1,280.00","1,930.00","3,170.00","5,106.00",108.0,July,Summer,11594.0
Naylor Road,559.00,305.00,182.00,109.00,7.0,July,Summer,1162.0
New Carrollton,"1,445.00",838.00,558.00,228.00,8.0,July,Summer,3077.0
NoMa-Gallaudet U,"2,339.00","2,497.00","2,903.00","1,311.00",32.0,July,Summer,9082.0
North Bethesda,691.00,569.00,568.00,261.00,13.0,July,Summer,2102.0
Pentagon,"1,765.00","1,462.00","2,995.00",286.00,8.0,July,Summer,6516.0
Pentagon City,"1,779.00","2,086.00","2,420.00","1,164.00",12.0,July,Summer,7461.0
Potomac Ave,845.00,652.00,447.00,235.00,7.0,July,Summer,2186.0
Potomac Yard,487.00,409.00,428.00,180.00,4.0,July,Summer,1508.0
Reston Town Center,275.00,234.00,316.00,103.00,3.0,July,Summer,931.0
Rhode Island Ave,"1,268.00","1,194.00",919.00,539.00,16.0,July,Summer,3936.0
Rockville,920.00,663.00,569.00,239.00,7.0,July,Summer,2398.0
Ronald Reagan Washington National Airport,661.00,"1,908.00","1,669.00","1,591.00",18.0,July,Summer,5847.0
Rosslyn,"1,450.00","1,780.00","2,529.00","1,013.00",26.0,July,Summer,6798.0
Shady Grove,"2,791.00","1,467.00","1,000.00",332.00,7.0,July,Summer,5597.0
Shaw-Howard U,612.00,850.00,919.00,521.00,30.0,July,Summer,2932.0
