Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),Time of Week,Total Daily Entries
Shady Grove,"2,625.00","1,348.00",873.00,248.00,6.0,Whole Week,5100.0
Shaw-Howard U,639.00,854.00,"1,166.00",545.00,34.0,Whole Week,3238.0
Silver Spring,"1,388.00","1,107.00","1,047.00",434.00,17.0,Whole Week,3993.0
Smithsonian,163.00,"1,464.00","3,138.00",685.00,20.0,Whole Week,5470.0
Southern Ave,"1,143.00",584.00,372.00,182.00,8.0,Whole Week,2289.0
Spring Hill,147.00,177.00,225.00,91.00,5.0,Whole Week,645.0
Stadium-Armory,525.00,543.00,519.00,230.00,14.0,Whole Week,1831.0
Suitland,"1,102.00",551.00,361.00,163.00,7.0,Whole Week,2184.0
Takoma,"1,158.00",870.00,813.00,237.00,12.0,Whole Week,3090.0
Tenleytown-AU,647.00,961.00,"1,431.00",579.00,15.0,Whole Week,3633.0
Twinbrook,847.00,614.00,498.00,176.00,7.0,Whole Week,2142.0
Tysons,245.00,457.00,923.00,495.00,8.0,Whole Week,2128.0
U Street,885.00,"1,157.00","1,438.00","1,201.00",102.0,Whole Week,4783.0
Union Station,"3,106.00","3,140.00","4,580.00","1,869.00",40.0,Whole Week,12735.0
Van Dorn Street,623.00,356.00,234.00,106.00,7.0,Whole Week,1326.0
Van Ness-UDC,861.00,974.00,902.00,305.00,14.0,Whole Week,3056.0
Vienna,"1,583.00","1,037.00",682.00,217.00,6.0,Whole Week,3525.0
Virginia Sq-GMU,686.00,556.00,550.00,210.00,9.0,Whole Week,2011.0
Waterfront,657.00,855.00,"1,137.00",795.00,29.0,Whole Week,3473.0
West Falls Church,509.00,294.00,182.00,63.00,4.0,Whole Week,1052.0
West Hyattsville,"1,091.00",624.00,445.00,129.00,6.0,Whole Week,2295.0
Wheaton,530.00,395.00,338.00,146.00,11.0,Whole Week,1420.0
Wiehle-Reston East,619.00,403.00,357.00,95.00,7.0,Whole Week,1481.0
Woodley Park,882.00,"1,164.00","1,233.00",422.00,27.0,Whole Week,3728.0
Addison Road,884.00,384.00,213.00,109.00,9.0,Weekdays,1599.0
Anacostia,"1,451.00","1,161.00","1,195.00",333.00,14.0,Weekdays,4154.0
Archives,188.00,"1,044.00","3,131.00",761.00,12.0,Weekdays,5136.0
Arlington Cemetery,44.00,496.00,364.00,37.00,4.0,Weekdays,945.0
Ashburn,818.00,305.00,207.00,64.00,2.0,Weekdays,1396.0
Ballston-MU,"2,097.00","1,263.00","1,887.00",646.00,20.0,Weekdays,5913.0
Benning Road,976.00,542.00,384.00,135.00,7.0,Weekdays,2044.0
