X,Y,NAME,ADDRESS,LINE,STATION_TYPE,NUMBER_OF_LINES
-8566689.79547957,4716715.66388193,Hyattsville Crossing,"3575 EAST WEST HIGHWAY, HYATTSVILLE, MD",green,['Residential'],1
-8568214.33492576,4715234.62391921,West Hyattsville,"2700 HAMILTON ST., HYATTSVILLE, MD",green,['Residential'],1
-8564739.85094908,4706067.89753531,Benning Road,"4500 CENTRAL AVENUE NE, WASHINGTON, DC","blue, silver",['Residential'],2
-8559813.18734407,4705463.24166375,Addison Road,"100 ADDISON ROAD S., CAPITOL HEIGHTS, MD","blue, silver",['Residential'],2
-8564393.8605099,4708528.56608581,Deanwood,"4720 MINNESOTA AVENUE NE, WASHINGTON, DC",orange,['Residential'],1
-8589927.28289121,4738865.84338745,Shady Grove,"15903 SOMERVILLE DRIVE, DERWOOD, MD",red,['Residential'],1
-8587867.64933124,4733758.24795912,Rockville,"251 HUNGERFORD DRIVE, ROCKVILLE, MD",red,['Residential'],1
-8585050.44281144,4730624.60226523,Twinbrook,"1600 CHAPMAN AVENUE, ROCKVILLE, MD",red,['Residential'],1
-8584161.21202061,4728572.31007086,North Bethesda,"5500 MARINELLI ROAD, ROCKVILLE, MD",red,['Residential'],1
-8583161.54707628,4725866.08521104,Grosvenor-Strathmore,"10300 ROCKVILLE PIKE, BETHESDA, MD",red,['Residential'],1
-8582393.72830057,4721680.78131054,Medical Center,"8810 ROCKVILLE PIKE, BETHESDA, MD",red,['Residential'],1
-8582079.46222834,4719437.46196143,Bethesda,"7450 WISCONSIN AVENUE, BETHESDA, MD",red,"['Jobs', 'Residential']",1
-8577197.93870072,4707458.49328263,Foggy Bottom-GWU,"890 23RD STREET NW, WASHINGTON, DC","blue, orange, silver","['University', 'Jobs']",3
-8581300.45186869,4705953.45960563,Court House,"2100 WILSON BLVD, ARLINGTON, VA","orange, silver","['Residential', 'Jobs']",2
-8582220.27031219,4705457.09422419,Clarendon,"3100 WILSON BLVD, ARLINGTON, VA","orange, silver","['Residential', 'Jobs']",2
-8589065.18788302,4705349.59568764,East Falls Church,"2001 N. SYCAMORE ST., ARLINGTON, VA","orange, silver","['Residential', 'Jobs']",2
-8583064.4280534,4704979.63057012,Virginia Sq-GMU,"3600 FAIRFAX DRIVE, ARLINGTON, VA","orange, silver","['Residential', 'Jobs']",2
