X,Y,NAME,ADDRESS,LINE,TRAININFO_URL,WEB_URL,GIS_ID,MAR_ID,GLOBALID,OBJECTID,CREATOR,CREATED,EDITOR,EDITED,SE_ANNO_CAD_DATA
-8597636.21580238,4710356.54115722,Greensboro,"8305 LEESBURG PIKE VIENNA, VA 22182",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N03|Greensboro,https://www.wmata.com/rider-guide/stations/greensboro.cfm,MetroStnFullPt_50,,{C854F20C-52BC-4DFC-830A-A3924CC352B2},656,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8596282.32962069,4710316.31738686,Tysons,"1943 CHAIN BRIDGE ROAD MCLEAN, VA 22102",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N02|Tysons%20Corner,https://www.wmata.com/rider-guide/stations/tysons.cfm,MetroStnFullPt_51,,{C20F7ACA-3301-4036-AA2F-8AE7EC6E2775},657,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8594986.93366688,4710866.83672888,McLean,"1824 DOLLEY MADISON BOULIVARD MCLEAN, VA 22102",silver,https://www.wmata.com/js/nexttrain/nexttrain.html#N01|McLean,https://www.wmata.com/rider-guide/stations/mclean.cfm,MetroStnFullPt_52,,{DE828471-044E-4009-BFEB-9F09AD06D261},658,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8557334.4778001,4714196.07531373,New Carrollton,"4700 GARDEN CITY DRIVE, NEW CARROLLTON, MD",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D13|New Carrollton,https://www.wmata.com/rider-guide/stations/new-carrollton.cfm,MetroStnFullPt_70,,{5E6AA600-FF45-4585-BBAA-856853D9899D},659,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8559489.25425328,4712152.497784,Landover,"3000 PENNSY DRIVE, HYATTSVILLE, MD",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D12|Landover,https://www.wmata.com/rider-guide/stations/landover.cfm,MetroStnFullPt_71,,{9DD26505-CB95-4ECF-9F70-F918DF136D7F},660,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8562320.11818185,4709737.94177745,Cheverly,"5501 COLUMBIA PARK, CHEVERLY, MD 
",orange,https://www.wmata.com/js/nexttrain/nexttrain.html#D11|Cheverly,https://www.wmata.com/rider-guide/stations/cheverly.cfm,MetroStnFullPt_72,,{57853466-E3C1-4581-956F-A4B4E6DB386B},661,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8554296.60714316,4707444.4354852,Downtown Largo,"9000 LOTTSFORD ROAD, LARGO, MD","blue, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#G05|Largo Town Center,https://www.wmata.com/rider-guide/stations/downtown-largo.cfm,MetroStnFullPt_73,,{7B93BA76-A584-48EF-8C50-B1CF39E97A89},662,JLAY,2022/11/30 20:32:57+00,JLAY,2024/03/19 19:27:02+00,
-8571937.27944776,4708362.29533758,NoMa-Gallaudet U,"1301 2ND STREET NE, WASHINGTON, DC",red,https://www.wmata.com/js/nexttrain/nexttrain.html#B35|NoMa-Gallaudet U,https://www.wmata.com/rider-guide/stations/new-york-ave.cfm,MetroStnFullPt_74,316364,{CE6374C5-74C1-4321-84FD-78DF92E8BC98},663,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8579494.56582302,4706783.51792854,Rosslyn,"1850 N. MOORE STREET, ARLINGTON, VA","blue, orange, silver",https://www.wmata.com/js/nexttrain/nexttrain.html#C05|Rosslyn,https://www.wmata.com/rider-guide/stations/rosslyn.cfm,MetroStnFullPt_75,,{BFDCCA71-8337-4C9C-B666-D04DEBD0D74C},664,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
-8578593.03830832,4705168.5015578,Arlington Cemetery,"1000 NORTH MEMORIAL DRIVE, ARLINGTON, VA",blue,https://www.wmata.com/js/nexttrain/nexttrain.html#C06|Arlington Cemetery,https://www.wmata.com/rider-guide/stations/arlington-cemetery.cfm,MetroStnFullPt_76,,{2D2B14DD-F8ED-4C26-B99C-A07DFCD10AD2},665,JLAY,2022/11/30 20:32:57+00,JLAY,2022/11/30 20:32:57+00,
