Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),MONTH,SEASON
Tenleytown-AU,785.00,"1,182.00","1,908.00",858.00,14.0,October,Fall
Twinbrook,867.00,564.00,496.00,170.00,7.0,October,Fall
Tysons,301.00,512.00,"1,068.00",553.00,8.0,October,Fall
U Street,"1,017.00","1,261.00","1,597.00","1,469.00",115.0,October,Fall
Union Station,"3,691.00","3,589.00","5,278.00","2,053.00",65.0,October,Fall
Van Dorn Street,735.00,387.00,253.00,113.00,8.0,October,Fall
Van Ness-UDC,"1,045.00","1,094.00","1,073.00",361.00,17.0,October,Fall
Vienna,"1,846.00","1,072.00",804.00,257.00,5.0,October,Fall
Virginia Sq-GMU,836.00,632.00,645.00,246.00,12.0,October,Fall
Waterfront,827.00,943.00,"1,277.00",875.00,26.0,October,Fall
West Falls Church,633.00,344.00,211.00,76.00,6.0,October,Fall
West Hyattsville,"1,245.00",652.00,480.00,127.00,3.0,October,Fall
Wheaton,748.00,537.00,485.00,214.00,12.0,October,Fall
Wiehle-Reston East,700.00,410.00,383.00,99.00,7.0,October,Fall
Woodley Park,"1,032.00","1,309.00","1,363.00",473.00,28.0,October,Fall
