Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),MONTH,SEASON
Federal Center SW,134.00,371.00,973.00,107.00,5.0,January,Winter
Federal Triangle,65.00,513.00,"1,770.00",208.00,9.0,January,Winter
Foggy Bottom-GWU,984.00,"2,354.00","4,758.00","1,808.00",37.0,January,Winter
Forest Glen,484.00,222.00,160.00,54.00,10.0,January,Winter
Fort Totten,"1,992.00","1,423.00","1,199.00",349.00,18.0,January,Winter
Franconia-Springfield,"1,145.00",641.00,415.00,121.00,4.0,January,Winter
Friendship Heights,836.00,899.00,929.00,318.00,19.0,January,Winter
Gallery Place,630.00,"2,011.00","4,802.00","3,780.00",87.0,January,Winter
Georgia Ave-Petworth,"1,148.00","1,156.00","1,190.00",439.00,17.0,January,Winter
Glenmont,"1,278.00",575.00,355.00,119.00,11.0,January,Winter
Greenbelt,"1,028.00",668.00,438.00,144.00,8.0,January,Winter
Greensboro,156.00,176.00,315.00,103.00,4.0,January,Winter
Grosvenor-Strathmore,833.00,465.00,318.00,81.00,9.0,January,Winter
Herndon,345.00,161.00,111.00,31.00,1.0,January,Winter
Huntington,"1,417.00",662.00,374.00,126.00,11.0,January,Winter
Hyattsville Crossing,895.00,699.00,605.00,250.00,10.0,January,Winter
Innovation Center,219.00,154.00,153.00,36.00,1.0,January,Winter
Judiciary Square,202.00,625.00,"1,537.00",302.00,18.0,January,Winter
King St-Old Town,811.00,773.00,825.00,333.00,17.0,January,Winter
L'Enfant Plaza,866.00,"1,521.00","3,624.00",609.00,60.0,January,Winter
Landover,412.00,164.00,103.00,46.00,6.0,January,Winter
Loudoun Gateway,98.00,46.00,46.00,13.00,1.0,January,Winter
McLean,227.00,225.00,626.00,116.00,5.0,January,Winter
McPherson Sq,721.00,"1,081.00","2,651.00",685.00,38.0,January,Winter
Medical Center,273.00,429.00,"1,196.00",179.00,9.0,January,Winter
Metro Center,592.00,"1,884.00","5,481.00","1,787.00",55.0,January,Winter
Minnesota Ave,433.00,434.00,390.00,150.00,8.0,January,Winter
Morgan Boulevard,369.00,179.00,143.00,140.00,5.0,January,Winter
Mt Vernon Sq,531.00,884.00,"1,295.00",655.00,29.0,January,Winter
Navy Yard-Ballpark,"1,114.00","1,203.00","1,881.00",675.00,23.0,January,Winter
Naylor Road,564.00,314.00,213.00,133.00,7.0,January,Winter
New Carrollton,"1,177.00",643.00,421.00,169.00,8.0,January,Winter
NoMa-Gallaudet U,"2,008.00","2,079.00","2,736.00",881.00,29.0,January,Winter
North Bethesda,509.00,416.00,433.00,163.00,8.0,January,Winter
Pentagon,"1,424.00","1,055.00","2,422.00",189.00,7.0,January,Winter
Pentagon City,"1,495.00","1,679.00","1,850.00",703.00,10.0,January,Winter
Potomac Ave,841.00,597.00,431.00,186.00,7.0,January,Winter
Potomac Yard,383.00,297.00,307.00,85.00,5.0,January,Winter
Reston Town Center,195.00,156.00,208.00,60.00,3.0,January,Winter
Rhode Island Ave,"1,150.00","1,086.00",887.00,408.00,12.0,January,Winter
Rockville,692.00,512.00,440.00,160.00,4.0,January,Winter
Ronald Reagan Washington National Airport,444.00,"1,523.00","1,417.00","1,242.00",29.0,January,Winter
Rosslyn,"1,101.00","1,220.00","1,950.00",558.00,20.0,January,Winter
Shady Grove,"2,204.00","1,086.00",681.00,179.00,7.0,January,Winter
Shaw-Howard U,640.00,824.00,"1,123.00",486.00,27.0,January,Winter
Silver Spring,"1,679.00","1,148.00","1,166.00",462.00,25.0,January,Winter
Smithsonian,137.00,778.00,"1,869.00",194.00,13.0,January,Winter
Southern Ave,991.00,583.00,370.00,187.00,9.0,January,Winter
Spring Hill,115.00,140.00,171.00,66.00,7.0,January,Winter
Stadium-Armory,487.00,509.00,468.00,171.00,12.0,January,Winter
Suitland,"1,034.00",624.00,459.00,236.00,12.0,January,Winter
Takoma,"1,111.00",911.00,770.00,215.00,10.0,January,Winter
Tenleytown-AU,536.00,802.00,"1,262.00",479.00,15.0,January,Winter
Twinbrook,712.00,508.00,413.00,140.00,7.0,January,Winter
Tysons,194.00,332.00,717.00,362.00,8.0,January,Winter
U Street,831.00,"1,035.00","1,277.00",912.00,76.0,January,Winter
Union Station,"2,658.00","2,503.00","4,001.00","1,395.00",29.0,January,Winter
Van Dorn Street,537.00,272.00,175.00,71.00,4.0,January,Winter
Van Ness-UDC,772.00,871.00,815.00,274.00,10.0,January,Winter
Vienna,"1,342.00",734.00,476.00,149.00,5.0,January,Winter
Virginia Sq-GMU,608.00,422.00,401.00,148.00,7.0,January,Winter
Waterfront,536.00,628.00,782.00,350.00,12.0,January,Winter
West Falls Church,427.00,216.00,138.00,48.00,3.0,January,Winter
West Hyattsville,929.00,545.00,391.00,109.00,7.0,January,Winter
Wheaton,642.00,407.00,353.00,155.00,14.0,January,Winter
Wiehle-Reston East,549.00,304.00,270.00,67.00,6.0,January,Winter
Woodley Park,756.00,779.00,696.00,273.00,23.0,January,Winter
