Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),MONTH,SEASON
Foggy Bottom-GWU,"1,191.00","3,188.00","6,246.00","2,805.00",38.0,April,Spring
Forest Glen,629.00,322.00,209.00,59.00,8.0,April,Spring
Fort Totten,"2,484.00","1,673.00","1,457.00",465.00,23.0,April,Spring
Franconia-Springfield,"1,555.00",975.00,594.00,178.00,7.0,April,Spring
Friendship Heights,"1,088.00","1,167.00","1,181.00",433.00,19.0,April,Spring
Gallery Place,753.00,"2,480.00","5,353.00","4,479.00",116.0,April,Spring
Georgia Ave-Petworth,"1,299.00","1,226.00","1,271.00",466.00,17.0,April,Spring
Glenmont,"1,660.00",804.00,471.00,166.00,13.0,April,Spring
Greenbelt,"1,387.00",972.00,622.00,201.00,7.0,April,Spring
Greensboro,196.00,213.00,386.00,140.00,5.0,April,Spring
Grosvenor-Strathmore,"1,072.00",642.00,433.00,123.00,6.0,April,Spring
Herndon,437.00,245.00,157.00,45.00,2.0,April,Spring
Huntington,"1,798.00",907.00,545.00,166.00,11.0,April,Spring
Hyattsville Crossing,"1,102.00",805.00,675.00,311.00,11.0,April,Spring
Innovation Center,310.00,277.00,232.00,49.00,1.0,April,Spring
Judiciary Square,243.00,890.00,"2,118.00",495.00,16.0,April,Spring
King St-Old Town,"1,191.00","1,339.00","1,183.00",535.00,16.0,April,Spring
L'Enfant Plaza,"1,069.00","2,375.00","5,424.00","1,208.00",59.0,April,Spring
Landover,530.00,214.00,124.00,69.00,7.0,April,Spring
Loudoun Gateway,128.00,67.00,59.00,15.00,1.0,April,Spring
McLean,300.00,335.00,834.00,173.00,7.0,April,Spring
McPherson Sq,982.00,"1,656.00","3,325.00","1,027.00",51.0,April,Spring
Medical Center,349.00,511.00,"1,424.00",220.00,6.0,April,Spring
Metro Center,758.00,"2,789.00","6,881.00","2,836.00",58.0,April,Spring
Minnesota Ave,490.00,410.00,418.00,170.00,13.0,April,Spring
Morgan Boulevard,464.00,220.00,165.00,57.00,7.0,April,Spring
Mt Vernon Sq,652.00,919.00,"1,291.00",730.00,24.0,April,Spring
Navy Yard-Ballpark,"1,400.00","1,655.00","3,981.00","3,775.00",64.0,April,Spring
Naylor Road,648.00,374.00,240.00,159.00,7.0,April,Spring
New Carrollton,"1,529.00",853.00,524.00,191.00,10.0,April,Spring
NoMa-Gallaudet U,"2,499.00","2,689.00","3,367.00","1,222.00",32.0,April,Spring
North Bethesda,656.00,565.00,551.00,230.00,7.0,April,Spring
Pentagon,"1,841.00","1,494.00","3,093.00",253.00,12.0,April,Spring
Pentagon City,"1,952.00","2,341.00","2,461.00","1,061.00",13.0,April,Spring
Potomac Ave,990.00,714.00,527.00,238.00,9.0,April,Spring
Potomac Yard,501.00,410.00,401.00,122.00,6.0,April,Spring
Reston Town Center,256.00,226.00,284.00,83.00,3.0,April,Spring
Rhode Island Ave,"1,397.00","1,277.00","1,074.00",576.00,17.0,April,Spring
Rockville,894.00,661.00,545.00,221.00,6.0,April,Spring
Ronald Reagan Washington National Airport,646.00,"1,885.00","1,660.00","1,540.00",21.0,April,Spring
Rosslyn,"1,561.00","1,984.00","2,777.00",897.00,27.0,April,Spring
Shady Grove,"2,835.00","1,475.00",901.00,248.00,7.0,April,Spring
Shaw-Howard U,655.00,876.00,"1,201.00",557.00,31.0,April,Spring
Silver Spring,"2,089.00","1,638.00","1,491.00",599.00,19.0,April,Spring
Smithsonian,195.00,"1,941.00","3,979.00",722.00,19.0,April,Spring
Southern Ave,"1,233.00",655.00,403.00,205.00,10.0,April,Spring
Spring Hill,167.00,196.00,233.00,90.00,6.0,April,Spring
Stadium-Armory,646.00,761.00,660.00,648.00,28.0,April,Spring
Suitland,"1,158.00",553.00,350.00,152.00,5.0,April,Spring
Takoma,"1,333.00",961.00,918.00,272.00,13.0,April,Spring
Tenleytown-AU,685.00,"1,052.00","1,608.00",674.00,18.0,April,Spring
Twinbrook,891.00,642.00,513.00,185.00,9.0,April,Spring
Tysons,264.00,464.00,880.00,474.00,8.0,April,Spring
U Street,971.00,"1,231.00","1,518.00","1,256.00",92.0,April,Spring
Union Station,"3,446.00","3,398.00","4,965.00","1,962.00",28.0,April,Spring
Van Dorn Street,687.00,394.00,251.00,109.00,7.0,April,Spring
Van Ness-UDC,951.00,"1,011.00",921.00,330.00,13.0,April,Spring
Vienna,"1,760.00","1,199.00",737.00,221.00,5.0,April,Spring
Virginia Sq-GMU,764.00,622.00,587.00,219.00,8.0,April,Spring
Waterfront,671.00,865.00,"1,166.00",787.00,26.0,April,Spring
West Falls Church,570.00,333.00,185.00,62.00,4.0,April,Spring
West Hyattsville,"1,171.00",668.00,485.00,151.00,7.0,April,Spring
Wheaton,797.00,575.00,460.00,206.00,10.0,April,Spring
Wiehle-Reston East,693.00,440.00,376.00,87.00,8.0,April,Spring
Woodley Park,946.00,"1,351.00","1,522.00",426.00,22.0,April,Spring
