Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close),MONTH,SEASON
King St-Old Town,929.00,"1,070.00","1,041.00",450.00,20.0,November,Fall
L'Enfant Plaza,874.00,"1,950.00","4,103.00",977.00,78.0,November,Fall
Landover,468.00,172.00,102.00,45.00,4.0,November,Fall
Loudoun Gateway,114.00,62.00,61.00,18.00,2.0,November,Fall
McLean,259.00,341.00,753.00,173.00,7.0,November,Fall
McPherson Sq,766.00,"1,353.00","2,670.00",797.00,41.0,November,Fall
Medical Center,431.00,702.00,"1,376.00",244.00,12.0,November,Fall
Metro Center,673.00,"2,427.00","5,803.00","2,365.00",67.0,November,Fall
Minnesota Ave,472.00,406.00,364.00,110.00,6.0,November,Fall
Morgan Boulevard,377.00,179.00,438.00,47.00,5.0,November,Fall
Mt Vernon Sq,604.00,914.00,"1,117.00",619.00,34.0,November,Fall
Navy Yard-Ballpark,"1,230.00","1,519.00","2,630.00",883.00,34.0,November,Fall
Naylor Road,582.00,290.00,155.00,82.00,5.0,November,Fall
New Carrollton,"1,301.00",699.00,488.00,151.00,8.0,November,Fall
NoMa-Gallaudet U,"2,250.00","2,641.00","3,220.00","1,186.00",42.0,November,Fall
North Bethesda,537.00,488.00,493.00,183.00,9.0,November,Fall
Pentagon,"1,507.00","1,279.00","2,471.00",173.00,15.0,November,Fall
Pentagon City,"1,661.00","2,228.00","2,544.00","1,003.00",13.0,November,Fall
Potomac Ave,861.00,669.00,503.00,197.00,7.0,November,Fall
Potomac Yard,464.00,412.00,400.00,122.00,5.0,November,Fall
Reston Town Center,243.00,219.00,270.00,88.00,4.0,November,Fall
Rhode Island Ave,"1,236.00","1,138.00","1,009.00",473.00,15.0,November,Fall
Rockville,750.00,589.00,481.00,172.00,6.0,November,Fall
Ronald Reagan Washington National Airport,595.00,"1,940.00","1,791.00","1,543.00",23.0,November,Fall
Rosslyn,"1,248.00","1,830.00","2,447.00",722.00,29.0,November,Fall
Shady Grove,"2,418.00","1,277.00",882.00,238.00,3.0,November,Fall
Shaw-Howard U,598.00,866.00,"1,173.00",536.00,34.0,November,Fall
Silver Spring,"1,661.00","1,484.00","1,342.00",564.00,20.0,November,Fall
Smithsonian,121.00,"1,136.00","2,397.00",306.00,16.0,November,Fall
Southern Ave,"1,043.00",500.00,325.00,139.00,8.0,November,Fall
Spring Hill,128.00,161.00,234.00,82.00,4.0,November,Fall
Stadium-Armory,497.00,553.00,541.00,191.00,11.0,November,Fall
Suitland,"1,008.00",501.00,320.00,124.00,5.0,November,Fall
Takoma,"1,134.00",925.00,841.00,207.00,8.0,November,Fall
Tenleytown-AU,621.00,"1,104.00","1,581.00",626.00,18.0,November,Fall
Twinbrook,738.00,574.00,483.00,162.00,7.0,November,Fall
Tysons,242.00,508.00,"1,031.00",547.00,8.0,November,Fall
U Street,793.00,"1,179.00","1,389.00","1,177.00",109.0,November,Fall
Union Station,"2,865.00","3,229.00","4,388.00","1,791.00",51.0,November,Fall
Van Dorn Street,576.00,355.00,221.00,103.00,7.0,November,Fall
Van Ness-UDC,802.00,"1,009.00",918.00,309.00,26.0,November,Fall
Vienna,"1,395.00","1,008.00",699.00,225.00,6.0,November,Fall
Virginia Sq-GMU,636.00,539.00,512.00,209.00,10.0,November,Fall
Waterfront,660.00,905.00,"1,157.00",657.00,29.0,November,Fall
West Falls Church,466.00,291.00,170.00,56.00,4.0,November,Fall
West Hyattsville,"1,086.00",641.00,454.00,108.00,6.0,November,Fall
Wheaton,628.00,521.00,466.00,183.00,9.0,November,Fall
Wiehle-Reston East,547.00,377.00,345.00,89.00,7.0,November,Fall
Woodley Park,806.00,"1,152.00","1,184.00",438.00,26.0,November,Fall
