Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close)
Forest Glen,445.00,278.00,192.00,52.00,4.00
Fort Totten,"2,035.00","1,520.00","1,335.00",395.00,23.00
Franconia-Springfield,"1,148.00",800.00,548.00,150.00,8.00
Friendship Heights,808.00,"1,032.00","1,041.00",350.00,19.00
Gallery Place,717.00,"2,905.00","6,185.00","5,397.00",134.00
Georgia Ave-Petworth,"1,063.00","1,135.00","1,138.00",349.00,23.00
Glenmont,"1,210.00",720.00,419.00,134.00,10.00
Greenbelt,"1,122.00",796.00,550.00,162.00,7.00
Greensboro,129.00,173.00,319.00,117.00,4.00
Grosvenor-Strathmore,825.00,632.00,446.00,120.00,9.00
Herndon,351.00,213.00,143.00,41.00,2.00
Huntington,"1,403.00",782.00,481.00,143.00,10.00
Hyattsville Crossing,926.00,762.00,688.00,262.00,11.00
Innovation Center,230.00,232.00,194.00,56.00,2.00
Judiciary Square,187.00,694.00,"1,555.00",350.00,18.00
King St-Old Town,869.00,"1,038.00",975.00,442.00,61.00
L'Enfant Plaza,900.00,"1,979.00","4,194.00",995.00,114.00
Landover,423.00,164.00,94.00,41.00,3.00
Loudoun Gateway,105.00,65.00,58.00,20.00,2.00
McLean,221.00,280.00,645.00,155.00,7.00
McPherson Sq,610.00,961.00,"2,111.00",671.00,41.00
Medical Center,265.00,455.00,"1,158.00",180.00,10.00
Metro Center,689.00,"2,420.00","5,859.00","2,588.00",108.00
Minnesota Ave,426.00,356.00,333.00,105.00,7.00
Morgan Boulevard,341.00,171.00,429.00,219.00,78.00
Mt Vernon Sq,542.00,"1,003.00","1,395.00",696.00,42.00
Navy Yard-Ballpark,"1,124.00","1,415.00","2,119.00",845.00,47.00
Naylor Road,510.00,259.00,157.00,74.00,4.00
New Carrollton,"1,190.00",656.00,445.00,140.00,6.00
NoMa-Gallaudet U,"1,955.00","2,354.00","2,955.00","1,058.00",55.00
North Bethesda,494.00,470.00,476.00,175.00,8.00
Pentagon,"1,415.00","1,311.00","2,378.00",174.00,10.00
Pentagon City,"1,492.00","2,174.00","2,549.00",996.00,15.00
Potomac Ave,756.00,560.00,421.00,156.00,8.00
Potomac Yard,406.00,378.00,380.00,107.00,7.00
Reston Town Center,199.00,184.00,235.00,82.00,4.00
Rhode Island Ave,"1,193.00","1,190.00","1,017.00",458.00,21.00
Rockville,681.00,555.00,462.00,163.00,7.00
Ronald Reagan Washington National Airport,598.00,"1,909.00","1,770.00","1,589.00",27.00
Rosslyn,"1,069.00","1,513.00","2,068.00",604.00,28.00
Shady Grove,"2,239.00","1,306.00",898.00,225.00,9.00
Shaw-Howard U,543.00,706.00,996.00,403.00,37.00
Silver Spring,"1,552.00","1,401.00","1,299.00",521.00,24.00
Smithsonian,124.00,724.00,"1,637.00",210.00,22.00
Southern Ave,986.00,477.00,304.00,129.00,7.00
Spring Hill,112.00,144.00,192.00,70.00,7.00
Stadium-Armory,428.00,429.00,464.00,147.00,11.00
Suitland,976.00,485.00,343.00,114.00,5.00
Takoma,"1,035.00",865.00,787.00,188.00,9.00
Tenleytown-AU,551.00,917.00,"1,317.00",448.00,14.00
Twinbrook,682.00,563.00,468.00,150.00,5.00
