Station Name,AM Peak (Open-9:30am),Midday (9:30am-3pm),PM Peak (3pm-7pm),Evening (7pm-12am),Late Night (12am-Close)
Greensboro,196.00,217.00,430.00,145.00,4.00
Grosvenor-Strathmore,"1,263.00",843.00,590.00,199.00,10.00
Herndon,504.00,248.00,183.00,49.00,2.00
Huntington,"1,890.00",880.00,559.00,177.00,10.00
Hyattsville Crossing,"1,183.00",894.00,755.00,331.00,10.00
Innovation Center,338.00,284.00,258.00,63.00,2.00
Judiciary Square,272.00,896.00,"2,173.00",538.00,13.00
King St-Old Town,"1,273.00","1,302.00","1,234.00",572.00,19.00
L'Enfant Plaza,"1,141.00","2,353.00","5,377.00","1,442.00",78.00
Landover,550.00,199.00,122.00,54.00,4.00
Loudoun Gateway,146.00,75.00,74.00,19.00,1.00
McLean,337.00,381.00,"1,038.00",219.00,6.00
McPherson Sq,983.00,"1,614.00","3,390.00","1,063.00",49.00
Medical Center,387.00,519.00,"1,505.00",217.00,12.00
Metro Center,804.00,"2,792.00","7,189.00","3,033.00",75.00
Minnesota Ave,589.00,464.00,456.00,142.00,6.00
Morgan Boulevard,470.00,204.00,352.00,340.00,8.00
Mt Vernon Sq,748.00,"1,120.00","1,598.00",795.00,30.00
Navy Yard-Ballpark,"1,631.00","1,652.00","2,796.00","1,524.00",42.00
Naylor Road,660.00,304.00,174.00,97.00,6.00
New Carrollton,"1,705.00",829.00,592.00,199.00,8.00
NoMa-Gallaudet U,"2,920.00","2,846.00","3,706.00","1,418.00",39.00
North Bethesda,653.00,498.00,544.00,196.00,9.00
Pentagon,"1,999.00","1,718.00","3,155.00",235.00,8.00
Pentagon City,"2,173.00","2,506.00","2,829.00","1,118.00",18.00
Potomac Ave,"1,071.00",708.00,574.00,235.00,8.00
Potomac Yard,607.00,453.00,466.00,143.00,6.00
Reston Town Center,302.00,232.00,325.00,100.00,3.00
Rhode Island Ave,"1,526.00","1,320.00","1,214.00",597.00,15.00
Rockville,900.00,580.00,510.00,178.00,5.00
Ronald Reagan Washington National Airport,745.00,"2,125.00","1,967.00","1,655.00",19.00
Rosslyn,"1,745.00","2,615.00","3,228.00",950.00,28.00
Shady Grove,"2,949.00","1,235.00",914.00,244.00,6.00
Shaw-Howard U,737.00,984.00,"1,539.00",710.00,39.00
Silver Spring,"2,049.00","1,579.00","1,545.00",627.00,19.00
Smithsonian,180.00,"1,753.00","3,124.00",759.00,20.00
Southern Ave,"1,246.00",551.00,399.00,171.00,9.00
Spring Hill,175.00,184.00,269.00,96.00,5.00
Stadium-Armory,591.00,647.00,689.00,210.00,15.00
Suitland,"1,257.00",536.00,377.00,147.00,6.00
Takoma,"1,400.00",965.00,"1,076.00",266.00,8.00
Tenleytown-AU,785.00,"1,182.00","1,908.00",858.00,14.00
Twinbrook,867.00,564.00,496.00,170.00,7.00
Tysons,301.00,512.00,"1,068.00",553.00,8.00
U Street,"1,017.00","1,261.00","1,597.00","1,469.00",115.00
Union Station,"3,691.00","3,589.00","5,278.00","2,053.00",65.00
Van Dorn Street,735.00,387.00,253.00,113.00,8.00
Van Ness-UDC,"1,045.00","1,094.00","1,073.00",361.00,17.00
Vienna,"1,846.00","1,072.00",804.00,257.00,5.00
Virginia Sq-GMU,836.00,632.00,645.00,246.00,12.00
Waterfront,827.00,943.00,"1,277.00",875.00,26.00
West Falls Church,633.00,344.00,211.00,76.00,6.00
West Hyattsville,"1,245.00",652.00,480.00,127.00,3.00
Wheaton,748.00,537.00,485.00,214.00,12.00
Wiehle-Reston East,700.00,410.00,383.00,99.00,7.00
Woodley Park,"1,032.00","1,309.00","1,363.00",473.00,28.00
